#,Paper_ID,R1_Rec,R1_Length,R1_Conf,R2_Rec,R2_Length,R2_Conf,R3_Rec,R3_Length,R3_Conf,MR_Length,Decision
338,r1lUOzWCW,4,311,4,7,360,4,6,151,2,58,Accept (Poster)
339,HktXuGb0-,4,299,4,5,379,3,3,563,4,101,Reject
340,HklpCzC6-,5,675,5,4,473,4,4,474,4,11,Reject
341,ryHM_fbA-,6,600,4,4,261,3,2,193,5,117,Reject
342,HklZOfW0W,6,348,3,3,172,3,4,236,3,47,Reject
343,ry80wMW0W,6,284,2,5,355,2,7,441,3,28,Accept (Poster)
344,H1O0KGC6b,5,412,4,3,204,5,4,205,4,28,Reject
345,rkfOvGbCW,6,134,4,6,477,5,8,789,4,53,Accept (Poster)
346,ry_WPG-A-,6,385,2,7,516,3,7,184,3,191,Accept (Poster)
347,SJdCUMZAW,4,250,4,2,410,5,3,541,4,164,Reject
348,BJypUGZ0Z,6,548,4,6,685,5,4,647,3,67,Invite to Workshop Track
349,B1twdMCab,5,482,3,5,642,4,6,180,4,88,Reject
